w,p,Features,f,Rec.,Prec.,F1
1,1,"a, e, n",log2,0.9141,0.6682,0.7534
0,2,"sinI, n",sqrt,0.7672,0.7538,0.747
0,3,"sinI, n",log2,0.7805,0.7419,0.746
1,3,"a, n, sinI",log2,0.9417,0.6412,0.746
1,1,"a, n, sinI",log2,0.9448,0.6373,0.7442
0,1,"a, sinI",log2,0.7291,0.8037,0.7438
1,3,"a, e",sqrt,0.9031,0.6647,0.7422
1,2,"a, e",log2,0.8979,0.6372,0.7074
1,3,"sinI, n",sqrt,0.9271,0.6,0.6993
1,2,"a, e",sqrt,0.8945,0.6161,0.6975
1,3,"sinI, n",log2,0.921,0.594,0.6954
1,2,"a, sinI",log2,0.9143,0.5939,0.6941
1,2,"sinI, n",log2,0.9139,0.5759,0.6816
1,2,"e, n",log2,0.86,0.6037,0.6765
1,3,"a, e",log2,0.8919,0.5909,0.6716
1,1,"a, e",sqrt,0.8826,0.5898,0.6694
1,1,"a, sinI",log2,0.9161,0.5535,0.6629
1,2,"e, n",sqrt,0.8566,0.5916,0.6612
1,2,"a, sinI",sqrt,0.905,0.5489,0.6528
1,2,"sinI, n",sqrt,0.9065,0.5516,0.6483
1,3,"e, n",log2,0.8505,0.5741,0.6479
0,2,"a, e, sinI",sqrt,0.6601,0.6864,0.6442
1,1,"a, sinI",sqrt,0.9135,0.5403,0.6426
0,3,"a, e, sinI",log2,0.6462,0.6847,0.6423
1,3,"a, sinI",log2,0.8918,0.5434,0.6418
1,3,"e, n",sqrt,0.852,0.5693,0.6416
1,1,"sinI, n",log2,0.9098,0.5321,0.6354
0,1,"a, e, sinI",log2,0.6247,0.6805,0.6348
1,1,"sinI, n",sqrt,0.9142,0.5306,0.6331
1,1,"e, n",sqrt,0.8348,0.5527,0.6258
1,3,"a, sinI",sqrt,0.8972,0.5231,0.6205
1,1,"a, e",log2,0.8587,0.5453,0.6204
0,3,"a, e, sinI",sqrt,0.6414,0.631,0.62
1,1,"e, n",log2,0.8274,0.5439,0.6153
0,2,"a, e, sinI",log2,0.6117,0.6542,0.6125
0,1,"a, e, sinI",sqrt,0.5643,0.6518,0.588
1,2,"a, e, sinI",sqrt,0.8006,0.3888,0.4579
1,2,"a, e, sinI",log2,0.7958,0.3824,0.4523
1,1,"a, e, sinI",sqrt,0.7476,0.3534,0.4192
1,3,"a, e, sinI",sqrt,0.7762,0.3459,0.4181
1,1,"a, e, sinI",log2,0.737,0.3485,0.4167
1,3,"a, e, sinI",log2,0.7567,0.3058,0.3769
