,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
116,117,"a, e",1.000,0.953,0.916,0.932,0.1,exponential,5.0,sqrt,9,41
117,118,"a, e",1.000,0.953,0.916,0.932,0.1,exponential,5.0,sqrt,9,42
118,119,"a, e",1.000,0.953,0.909,0.929,0.1,exponential,,sqrt,9,43
119,120,"a, e",1.000,0.953,0.909,0.928,0.1,exponential,5.0,sqrt,9,37
120,121,"a, e",1.000,0.953,0.909,0.928,0.1,exponential,5.0,sqrt,9,39
121,122,"a, e",1.000,0.952,0.901,0.924,0.1,exponential,5.0,sqrt,9,36
122,123,"a, e",1.000,0.952,0.901,0.924,0.1,exponential,5.0,sqrt,9,38
123,124,"a, e",1.000,0.953,0.894,0.920,0.1,exponential,,sqrt,9,42
124,125,"a, e",0.999,0.953,0.887,0.915,0.1,exponential,,sqrt,9,41
125,126,"a, e",0.999,0.951,0.870,0.907,0.1,exponential,5.0,sqrt,9,35
126,127,"a, e",0.999,0.952,0.871,0.906,0.1,exponential,,sqrt,9,38
127,128,"a, e",0.999,0.952,0.871,0.906,0.1,exponential,,sqrt,9,39
128,129,"a, e",0.999,0.952,0.871,0.906,0.1,exponential,,sqrt,9,40
129,130,"a, e",0.999,0.951,0.864,0.902,0.1,exponential,,sqrt,9,37
130,131,"a, e",0.999,0.949,0.855,0.898,0.1,exponential,5.0,sqrt,9,34
131,132,"a, e",0.999,0.951,0.856,0.897,0.1,exponential,,sqrt,9,36
132,133,"a, e",0.999,0.950,0.848,0.893,0.1,exponential,,sqrt,9,34
133,134,"a, e",0.999,0.950,0.848,0.893,0.1,exponential,,sqrt,9,35
134,135,"a, e",0.999,0.950,0.840,0.889,0.1,exponential,,sqrt,9,33
135,136,"a, e",0.999,0.949,0.840,0.889,0.1,exponential,5.0,sqrt,9,33
136,137,"a, e",0.999,0.957,0.810,0.874,0.1,exponential,,sqrt,9,31
137,138,"a, e",0.999,0.948,0.810,0.871,0.1,exponential,,sqrt,9,32
138,139,"a, e",0.999,0.952,0.749,0.835,0.1,exponential,,sqrt,9,30
139,140,"a, e",0.999,0.963,0.704,0.804,0.1,exponential,5.0,sqrt,9,32
140,141,"a, e",0.999,0.951,0.703,0.803,0.1,exponential,,sqrt,9,29
141,142,"a, e",0.998,0.974,0.474,0.623,0.1,exponential,5.0,sqrt,9,31
142,143,"a, e",0.997,0.760,0.220,0.322,0.1,exponential,5.0,sqrt,9,30
143,144,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,1
144,145,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,2
145,146,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,3
146,147,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,4
147,148,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,5
148,149,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,6
149,150,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,7
150,151,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,8
151,152,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,9
152,153,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,10
153,154,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,11
154,155,"a, e",0.997,0.000,0.000,0.000,0.1,exponential,5.0,sqrt,9,12
