,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
53,54,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,92
54,55,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,93
55,56,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,97
56,57,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,98
57,58,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,99
58,59,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,5.0,sqrt,3,100
59,60,"a, sinI",1.000,0.961,0.932,0.945,0.1,exponential,5.0,sqrt,3,39
60,61,"a, sinI",1.000,0.961,0.932,0.945,0.1,exponential,5.0,sqrt,3,40
61,62,"a, sinI",1.000,0.961,0.932,0.945,0.1,exponential,5.0,sqrt,3,41
62,63,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,67
63,64,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,68
64,65,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,69
65,66,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,70
66,67,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,71
67,68,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,72
68,69,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,73
69,70,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,74
70,71,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,75
71,72,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,76
72,73,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,77
73,74,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,78
74,75,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,79
75,76,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,80
76,77,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,81
77,78,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,82
78,79,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,83
79,80,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,84
80,81,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,85
81,82,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,86
82,83,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,87
83,84,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,88
84,85,"a, sinI",1.000,0.961,0.924,0.941,0.1,exponential,,sqrt,3,89
