Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
5808,15,5793,47358,91,47267,"kNN, k=3, p=1","a, n",89,29,47238,2,0.999,0.754,0.978,0.852
5808,15,5793,47358,91,47267,"kNN, k=3, p=2",n,87,24,47243,4,0.999,0.784,0.956,0.861
5808,15,5793,47358,91,47267,"kNN, k=3, p=2","a, n",89,31,47236,2,0.999,0.742,0.978,0.844
5808,15,5793,47358,91,47267,"kNN, k=16, p=1",n,88,36,47231,3,0.999,0.71,0.967,0.819
5808,15,5793,47358,91,47267,"kNN, k=16, p=1","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
5808,15,5793,47358,91,47267,"kNN, k=16, p=2",n,88,36,47231,3,0.999,0.71,0.967,0.819
5808,15,5793,47358,91,47267,"kNN, k=16, p=2","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
6526,16,6510,47358,91,47267,"kNN, k=3, p=1",n,87,24,47243,4,0.999,0.784,0.956,0.861
6526,16,6510,47358,91,47267,"kNN, k=3, p=1","a, n",89,29,47238,2,0.999,0.754,0.978,0.852
6526,16,6510,47358,91,47267,"kNN, k=3, p=2",n,87,24,47243,4,0.999,0.784,0.956,0.861
6526,16,6510,47358,91,47267,"kNN, k=3, p=2","a, n",89,31,47236,2,0.999,0.742,0.978,0.844
6526,16,6510,47358,91,47267,"kNN, k=16, p=1",n,88,36,47231,3,0.999,0.71,0.967,0.819
6526,16,6510,47358,91,47267,"kNN, k=16, p=1","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
6526,16,6510,47358,91,47267,"kNN, k=16, p=2",n,88,36,47231,3,0.999,0.71,0.967,0.819
6526,16,6510,47358,91,47267,"kNN, k=16, p=2","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
6703,17,6686,47358,91,47267,"kNN, k=3, p=1",n,87,24,47243,4,0.999,0.784,0.956,0.861
6703,17,6686,47358,91,47267,"kNN, k=3, p=1","a, n",89,29,47238,2,0.999,0.754,0.978,0.852
6703,17,6686,47358,91,47267,"kNN, k=3, p=2",n,87,24,47243,4,0.999,0.784,0.956,0.861
6703,17,6686,47358,91,47267,"kNN, k=3, p=2","a, n",89,31,47236,2,0.999,0.742,0.978,0.844
6703,17,6686,47358,91,47267,"kNN, k=16, p=1",n,88,36,47231,3,0.999,0.71,0.967,0.819
6703,17,6686,47358,91,47267,"kNN, k=16, p=1","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
6703,17,6686,47358,91,47267,"kNN, k=16, p=2",n,88,36,47231,3,0.999,0.71,0.967,0.819
6703,17,6686,47358,91,47267,"kNN, k=16, p=2","a, n",89,39,47228,2,0.999,0.695,0.978,0.813
7359,18,7341,47358,91,47267,"kNN, k=3, p=1",n,87,15,47252,4,1.0,0.853,0.956,0.902
7359,18,7341,47358,91,47267,"kNN, k=3, p=1","a, n",89,23,47244,2,0.999,0.795,0.978,0.877
7359,18,7341,47358,91,47267,"kNN, k=3, p=2",n,87,15,47252,4,1.0,0.853,0.956,0.902
7359,18,7341,47358,91,47267,"kNN, k=3, p=2","a, n",89,21,47246,2,1.0,0.809,0.978,0.886
7359,18,7341,47358,91,47267,"kNN, k=16, p=1",n,88,35,47232,3,0.999,0.715,0.967,0.822
7359,18,7341,47358,91,47267,"kNN, k=16, p=1","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
7359,18,7341,47358,91,47267,"kNN, k=16, p=2",n,88,35,47232,3,0.999,0.715,0.967,0.822
7359,18,7341,47358,91,47267,"kNN, k=16, p=2","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
7561,19,7542,47358,91,47267,"kNN, k=3, p=1",n,87,15,47252,4,1.0,0.853,0.956,0.902
7561,19,7542,47358,91,47267,"kNN, k=3, p=1","a, n",89,23,47244,2,0.999,0.795,0.978,0.877
7561,19,7542,47358,91,47267,"kNN, k=3, p=2",n,87,15,47252,4,1.0,0.853,0.956,0.902
7561,19,7542,47358,91,47267,"kNN, k=3, p=2","a, n",89,21,47246,2,1.0,0.809,0.978,0.886
7561,19,7542,47358,91,47267,"kNN, k=16, p=1",n,88,35,47232,3,0.999,0.715,0.967,0.822
7561,19,7542,47358,91,47267,"kNN, k=16, p=1","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
7561,19,7542,47358,91,47267,"kNN, k=16, p=2",n,88,35,47232,3,0.999,0.715,0.967,0.822
7561,19,7542,47358,91,47267,"kNN, k=16, p=2","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
7680,20,7660,47358,91,47267,"kNN, k=3, p=1",n,87,15,47252,4,1.0,0.853,0.956,0.902
7680,20,7660,47358,91,47267,"kNN, k=3, p=1","a, n",89,23,47244,2,0.999,0.795,0.978,0.877
7680,20,7660,47358,91,47267,"kNN, k=3, p=2",n,87,15,47252,4,1.0,0.853,0.956,0.902
7680,20,7660,47358,91,47267,"kNN, k=3, p=2","a, n",89,21,47246,2,1.0,0.809,0.978,0.886
7680,20,7660,47358,91,47267,"kNN, k=16, p=1",n,88,35,47232,3,0.999,0.715,0.967,0.822
7680,20,7660,47358,91,47267,"kNN, k=16, p=1","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
7680,20,7660,47358,91,47267,"kNN, k=16, p=2",n,88,35,47232,3,0.999,0.715,0.967,0.822
7680,20,7660,47358,91,47267,"kNN, k=16, p=2","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
