,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
86,87,"a, sinI, n",1.000,0.976,0.924,0.949,0.1,exponential,,sqrt,3,55
87,88,"a, e, n",1.000,0.977,0.925,0.948,0.2,exponential,,sqrt,3,25
88,89,"a, sinI",1.000,0.934,0.962,0.947,0.1,exponential,4.0,sqrt,3,85
89,90,"a, sinI",1.000,0.934,0.962,0.947,0.2,exponential,4.0,sqrt,3,85
90,91,"a, sinI",1.000,0.934,0.962,0.947,0.2,exponential,4.0,sqrt,3,95
91,92,"a, sinI",1.000,0.940,0.954,0.947,0.2,exponential,4.0,sqrt,3,35
92,93,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,4.0,sqrt,3,65
93,94,"a, sinI",1.000,0.940,0.954,0.947,0.1,exponential,4.0,sqrt,3,75
94,95,"a, sinI",1.000,0.940,0.954,0.947,0.2,exponential,4.0,sqrt,3,45
95,96,"a, sinI, n",1.000,0.947,0.947,0.947,0.2,exponential,,sqrt,3,65
96,97,"a, sinI, n",1.000,0.947,0.947,0.947,0.2,exponential,,sqrt,3,75
97,98,"a, sinI",1.000,0.947,0.947,0.946,0.2,exponential,4.0,sqrt,3,25
98,99,"a, e",1.000,0.949,0.947,0.946,0.1,exponential,4.0,sqrt,3,55
99,100,"a, e",1.000,0.949,0.947,0.946,0.2,exponential,4.0,sqrt,3,25
100,101,"a, sinI, n",1.000,0.949,0.947,0.946,0.1,exponential,4.0,sqrt,3,55
101,102,"a, sinI, n",1.000,0.953,0.939,0.946,0.2,exponential,,sqrt,3,45
102,103,"a, e, sinI, n",1.000,0.950,0.948,0.946,0.2,exponential,4.0,sqrt,3,75
103,104,"a, sinI",1.000,0.947,0.946,0.946,0.2,exponential,,sqrt,3,75
104,105,"a, sinI",1.000,0.947,0.946,0.946,0.2,exponential,,sqrt,3,85
105,106,"a, sinI",1.000,0.947,0.946,0.946,0.2,exponential,,sqrt,3,95
106,107,"a, e, sinI",1.000,0.954,0.939,0.946,0.2,exponential,4.0,sqrt,3,75
107,108,"a, e, n",1.000,0.956,0.940,0.945,0.2,exponential,,sqrt,3,55
108,109,"a, e",1.000,0.961,0.931,0.945,0.1,exponential,,sqrt,3,65
109,110,"a, e",1.000,0.961,0.931,0.945,0.2,exponential,,sqrt,3,35
110,111,"a, sinI, n",1.000,0.961,0.932,0.945,0.1,exponential,,sqrt,3,85
111,112,"a, sinI, n",1.000,0.961,0.932,0.945,0.1,exponential,,sqrt,3,95
112,113,"a, sinI, n",1.000,0.962,0.932,0.945,0.2,exponential,4.0,sqrt,3,35
113,114,"a, e",1.000,0.961,0.931,0.945,0.2,exponential,,sqrt,3,55
114,115,"a, sinI, n",1.000,0.962,0.932,0.945,0.2,exponential,4.0,sqrt,3,25
115,116,"a, e, sinI, n",1.000,0.963,0.932,0.945,0.2,exponential,,sqrt,3,65
116,117,"a, e, sinI, n",1.000,0.963,0.932,0.945,0.2,exponential,,sqrt,3,75
117,118,"a, e, n",1.000,0.964,0.932,0.945,0.2,exponential,,sqrt,3,45
118,119,"a, sinI, n",1.000,0.968,0.924,0.945,0.1,exponential,,sqrt,3,65
119,120,"a, e, n",1.000,0.970,0.925,0.944,0.1,exponential,,sqrt,3,65
120,121,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,5
121,122,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,15
122,123,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,25
123,124,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,35
124,125,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,45
125,126,"a, n",1.000,0.934,0.955,0.943,0.1,log_loss,,sqrt,3,55
